part,candidates,success,raw,safe,failed,best_candidate,bbox_mean_error,volume_error,normalized_chamfer,avg_latency_sec,avg_tokens_per_sec,peak_vram_gb,report
part_001,5,4,3,1,1,3,0.1794871795,0.804029749,0.0212967467718644,14.303953504562378,28.504862660645415,4.488603591918945,assistant_reports/part_001_assistant_report.md
part_002,5,4,3,1,1,1,0.3958123554,0.0296031588,0.0165979843654061,13.590766048431396,28.526420821644194,4.488603591918945,assistant_reports/part_002_assistant_report.md
part_003,5,5,5,0,0,2,0.0779035668,1.2248346992,0.0028022740682665,12.672671842575074,28.027102017940628,4.488603591918945,assistant_reports/part_003_assistant_report.md
part_004,5,5,4,1,0,2,0.3945707071,2.6117976022,0.0333661691955856,15.83717656135559,28.910332290908947,4.488603591918945,assistant_reports/part_004_assistant_report.md
part_005,5,5,4,1,0,1,0.359375,0.0072848382,0.0157853929767358,18.141040325164795,29.80802559205656,4.488603591918945,assistant_reports/part_005_assistant_report.md
part_006,5,3,3,0,2,2,0.3030163362,1.2660444347,0.0163675056119485,15.169732666015625,26.3341977801682,4.488603591918945,assistant_reports/part_006_assistant_report.md
part_007,5,2,2,0,3,1,0.4555005826,1.5386080919,0.0289866774604819,15.570022487640381,28.974174561039852,4.488603591918945,assistant_reports/part_007_assistant_report.md
part_008,5,4,3,1,1,1,0.0922619048,0.1593741421,0.0037867510243627,18.04103775024414,29.580187014281915,4.488603591918945,assistant_reports/part_008_assistant_report.md
