candidate,final_success,selected_stage,step_path,stl_path,raw_error_type,safe_error_type
0,False,failed,,,OCP.OCP.Standard.Standard_Failure,ValueError
1,True,raw,outputs/part_001/candidate_1.step,outputs/part_001/candidate_1.stl,,
2,True,raw,outputs/part_001/candidate_2.step,outputs/part_001/candidate_2.stl,,
3,False,failed,,,OCP.OCP.StdFail.StdFail_NotDone,ValueError
4,True,raw,outputs/part_001/candidate_4.step,outputs/part_001/candidate_4.stl,,
