sample,candidates,pipeline_success,pipeline_success_rate,raw_selected,safe_selected,failed,best_bbox_mean_error,best_volume_error,num_inferences,avg_inference_time_sec,avg_peak_vram_gb,geometry_score,cad_repair_score,overall_demo_score
part_001,5,4,0.8,4,0,1,0.5767158540905031,1.4206893929605349,5,42.31016159057617,4.488603591918945,0.4232841459094969,0.8,0.6493136583637987
part_002,5,5,1.0,4,1,0,0.4513202208325378,0.931878578565414,5,18.599362277984618,4.488603591918945,0.5486797791674622,1.0,0.8194719116669849
part_003,5,4,0.8,3,1,1,0.1915584399360421,0.0372342887861033,5,13.58169584274292,4.488603591918945,0.8084415600639578,0.8,0.8033766240255831
part_004,5,5,1.0,3,2,0,0.4980000813802083,0.9324513022445214,5,16.435562992095946,4.488603591918945,0.5019999186197917,1.0,0.8007999674479167
part_005,5,4,0.8,2,2,1,0.4187722785605324,0.9617896581512544,5,17.969467878341675,4.488603591918945,0.5812277214394677,0.8,0.712491088575787
part_006,5,4,0.8,3,1,1,0.3383446795842651,1.5177783551945676,5,12.839177131652832,4.488603591918945,0.6616553204157349,0.8,0.744662128166294
part_007,5,3,0.6,3,0,2,0.4037037037037037,0.2632176035311869,5,17.34772868156433,4.488603591918945,0.5962962962962963,0.6,0.5985185185185186
part_008,5,5,1.0,5,0,0,0.2007275132275131,0.3541056646285233,5,16.57470836639404,4.488603591918945,0.799272486772487,1.0,0.9197089947089948
