sample,candidates,pipeline_success,pipeline_success_rate,raw_selected,safe_selected,failed,best_bbox_mean_error,best_volume_error,raw_success_rate,safe_gain,success_gain
part_001,5,3,0.6,3,0,2,0.5767158540905031,1.4206893929605349,0.6,0.0,0.0
part_002,5,5,1.0,4,1,0,0.4513202208325378,0.931878578565414,0.8,0.2,0.19999999999999996
part_003,5,5,1.0,4,1,0,0.1915584399360421,0.0372342887861033,0.8,0.2,0.19999999999999996
part_004,5,4,0.8,3,1,1,0.6775252525252525,0.7861421454588782,0.6,0.2,0.20000000000000007
part_005,5,4,0.8,2,2,1,0.4187722785605324,0.9617896581512544,0.4,0.4,0.4
part_006,5,4,0.8,3,1,1,0.3383446795842651,1.5177783551945676,0.6,0.2,0.20000000000000007
part_007,5,3,0.6,3,0,2,0.4115636568378519,0.614012184468176,0.6,0.0,0.0
part_008,5,5,1.0,5,0,0,0.2007275132275131,0.3541056646285233,1.0,0.0,0.0
