candidate,final_success,selected_stage,step_path,stl_path,raw_error_type,safe_error_type
0,False,failed,,,OCP.OCP.Standard.Standard_Failure,ValueError
1,True,safe,outputs/part_004/candidate_1.step,outputs/part_004/candidate_1.stl,OCP.OCP.StdFail.StdFail_NotDone,
2,True,raw,outputs/part_004/candidate_2.step,outputs/part_004/candidate_2.stl,,
3,True,raw,outputs/part_004/candidate_3.step,outputs/part_004/candidate_3.stl,,
4,True,raw,outputs/part_004/candidate_4.step,outputs/part_004/candidate_4.stl,,
