candidate,final_success,selected_stage,step_path,stl_path,raw_error_type,safe_error_type
0,True,raw,outputs/part_007/candidate_0.step,outputs/part_007/candidate_0.stl,,
1,False,failed,,,OCP.OCP.Standard.Standard_OutOfRange,OCP.OCP.Standard.Standard_OutOfRange
2,True,raw,outputs/part_007/candidate_2.step,outputs/part_007/candidate_2.stl,,
3,False,failed,,,ValueError,ValueError
4,True,raw,outputs/part_007/candidate_4.step,outputs/part_007/candidate_4.stl,,
