sample,candidates,pipeline_success,pipeline_success_rate,raw_selected,safe_selected,failed,best_bbox_mean_error,best_volume_error
part_001,5,3,0.6,3,0,2,0.5735042735042735,3.0498604960674363
part_002,5,4,0.8,3,1,1,0.4513202208325378,0.931878578565414
part_003,5,5,1.0,4,1,0,0.19155843993604216,0.0372342887861033
part_004,5,4,0.8,3,1,1,0.49800008138020835,0.9324513022445214
part_005,5,4,0.8,2,2,1,0.4164594438340929,1.837213051277301
part_006,5,3,0.6,2,1,2,0.3383446795842651,1.5177783551945676
part_007,5,2,0.4,2,0,3,0.41156365683785195,0.614012184468176
part_008,5,4,0.8,4,0,1,0.20072751322751317,0.3541056646285233
